source,tag,hidden,D_eff,seed,step,exact_pct,token_pct,lm_loss
budget,h128_d36,128,36,0,22000,12.1094,69.1382,0.7188183069229126
budget,h128_d36,128,36,0,24000,10.9375,68.2292,0.7570101022720337
budget,h128_d36,128,36,0,26000,14.0625,68.7645,0.7202860713005066
budget,h128_d36,128,36,0,28000,11.7188,68.0146,0.7359406352043152
budget,h128_d36,128,36,0,30000,15.2344,69.4589,0.7162399888038635
budget,h128_d36_s0,128,36,0,2000,0.0,58.6709,1.0027596950531006
budget,h128_d36_s0,128,36,0,4000,2.1484,64.4338,0.8453312516212463
budget,h128_d36_s0,128,36,0,6000,3.5156,65.4755,0.8529462218284607
budget,h128_d36_s0,128,36,0,8000,4.2969,66.8403,0.7715162634849548
budget,h128_d36_s0,128,36,0,10000,5.8594,67.7421,0.7487571239471436
budget,h128_d36_s0,128,36,0,12000,10.3516,66.8668,0.8507586121559143
budget,h128_d36_s0,128,36,0,14000,9.375,67.3563,0.7620892524719238
budget,h128_d36_s0,128,36,0,16000,14.0625,69.0611,0.7550271153450012
budget,h128_d36_s0,128,36,0,18000,15.0391,68.7042,0.7477937936782837
budget,h128_d36_s0,128,36,0,20000,15.2344,69.7097,0.7183538675308228
budget,h128_d36_s0,128,36,0,22000,12.1094,69.1382,0.7188183069229126
budget,h128_d36_s0,128,36,0,24000,10.9375,68.2292,0.7570101022720337
budget,h128_d36_s0,128,36,0,26000,14.0625,68.7645,0.7202860713005066
budget,h128_d36_s0,128,36,0,28000,11.7188,68.0146,0.7359406352043152
budget,h128_d36_s0,128,36,0,30000,15.2344,69.4589,0.7162399888038635
budget,h128_d36_s1,128,36,1,2000,0.0,58.4877,1.0153751373291016
budget,h128_d36_s1,128,36,1,4000,1.7578,64.3808,0.8381922841072083
budget,h128_d36_s1,128,36,1,6000,2.5391,65.8131,0.799003541469574
budget,h128_d36_s1,128,36,1,8000,4.8828,67.2213,0.769755482673645
budget,h128_d36_s1,128,36,1,10000,8.3984,67.3466,0.7560272216796875
budget,h128_d36_s1,128,36,1,12000,6.25,67.378,0.7523203492164612
budget,h128_d36_s1,128,36,1,14000,4.2969,67.243,0.7493041157722473
budget,h128_d36_s1,128,36,1,16000,2.5391,66.9632,0.7576785087585449
budget,h128_d36_s1,128,36,1,18000,8.3984,68.2774,0.732063889503479
budget,h128_d36_s1,128,36,1,20000,5.8594,68.5016,0.7279647588729858
budget,h128_d36_s1,128,36,1,22000,5.2734,68.0049,0.7374131083488464
budget,h128_d36_s1,128,36,1,24000,5.0781,68.0363,0.7354775667190552
budget,h128_d36_s1,128,36,1,26000,6.4453,66.5919,0.7996935248374939
budget,h128_d36_s1,128,36,1,28000,5.2734,67.1224,0.7634723782539368
budget,h128_d36_s1,128,36,1,30000,6.0547,66.8716,0.773524820804596
budget,h128_d36_s2,128,36,2,2000,0.0,58.3864,1.0142863988876343
budget,h128_d36_s2,128,36,2,4000,1.3672,63.3512,0.8565680980682373
budget,h128_d36_s2,128,36,2,6000,2.5391,65.6805,0.7978471517562866
budget,h128_d36_s2,128,36,2,8000,2.5391,66.522,0.7690204381942749
budget,h128_d36_s2,128,36,2,10000,3.125,67.3539,0.7475395798683167
budget,h128_d36_s2,128,36,2,12000,7.0312,67.4648,0.754941999912262
budget,h128_d36_s2,128,36,2,14000,7.0312,68.5209,0.7420181632041931
budget,h128_d36_s2,128,36,2,16000,10.9375,68.545,0.7675022482872009
budget,h128_d36_s2,128,36,2,18000,8.5938,68.6801,0.7305639386177063
budget,h128_d36_s2,128,36,2,20000,11.3281,68.6222,0.7486277222633362
budget,h128_d36_s2,128,36,2,22000,6.4453,68.152,0.7470560669898987
budget,h128_d36_s2,128,36,2,24000,7.4219,68.1183,0.760456919670105
budget,h128_d36_s2,128,36,2,26000,5.8594,68.2243,0.7319447994232178
budget,h128_d36_s2,128,36,2,28000,6.25,67.9495,0.7584943175315857
budget,h128_d36_s2,128,36,2,30000,11.1328,68.844,0.728513240814209
budget,h128_d36_s3,128,36,3,2000,0.0,58.3888,1.0208303928375244
budget,h128_d36_s3,128,36,3,4000,0.9766,63.1342,0.8747333884239197
budget,h128_d36_s3,128,36,3,6000,2.5391,65.0825,0.8070335388183594
budget,h128_d36_s3,128,36,3,8000,4.4922,66.0831,0.8257747292518616
budget,h128_d36_s3,128,36,3,10000,4.4922,67.2188,0.7844555377960205
budget,h128_d36_s3,128,36,3,12000,3.7109,67.4335,0.7493935823440552
budget,h128_d36_s3,128,36,3,14000,4.8828,68.0049,0.7388828992843628
budget,h128_d36_s3,128,36,3,16000,6.8359,67.4262,0.7991194128990173
budget,h128_d36_s3,128,36,3,18000,4.4922,67.3249,0.7665892243385315
budget,h128_d36_s3,128,36,3,20000,6.8359,68.1062,0.7470627427101135
budget,h128_d36_s3,128,36,3,22000,5.0781,67.6022,0.7453510761260986
budget,h128_d36_s3,128,36,3,24000,8.7891,68.1544,0.7583369016647339
budget,h128_d36_s3,128,36,3,26000,6.4453,68.1761,0.7456607222557068
budget,h128_d36_s3,128,36,3,28000,10.7422,68.6632,0.7477052211761475
budget,h128_d36_s3,128,36,3,30000,6.6406,68.3738,0.7443296909332275
budget,h128_d36_s4,128,36,4,2000,0.0,58.7842,1.0051780939102173
